"Date","Price","Open","High","Low","Vol.","Change %"
"12/25/2023","7,770.0","7,600.0","7,850.0","7,600.0","548.20K","2.24%"
"12/22/2023","7,600.0","7,510.0","7,630.0","7,500.0","328.80K","-0.26%"
"12/21/2023","7,620.0","7,500.0","7,670.0","7,500.0","301.90K","-0.65%"
"12/20/2023","7,670.0","7,600.0","7,710.0","7,600.0","464.70K","0.79%"
"12/19/2023","7,610.0","7,700.0","7,800.0","7,600.0","358.90K","-1.17%"
"12/18/2023","7,700.0","7,550.0","7,850.0","7,450.0","748.10K","1.99%"
"12/15/2023","7,550.0","7,500.0","7,660.0","7,450.0","414.20K","0.67%"
"12/14/2023","7,500.0","7,660.0","7,850.0","7,500.0","1.23M","-2.09%"
"12/13/2023","7,660.0","7,800.0","7,870.0","7,610.0","819.70K","-1.79%"
"12/12/2023","7,800.0","7,940.0","8,000.0","7,800.0","953.10K","-1.76%"
"12/11/2023","7,940.0","7,920.0","8,030.0","7,800.0","725.70K","0.25%"
"12/08/2023","7,920.0","8,000.0","8,050.0","7,900.0","648.10K","-1.00%"
"12/07/2023","8,000.0","8,500.0","8,500.0","7,700.0","1.01M","-0.12%"
"12/06/2023","8,010.0","7,940.0","8,070.0","7,420.0","1.53M","0.88%"
"12/05/2023","7,940.0","8,000.0","8,130.0","7,920.0","859.90K","-0.75%"
"12/04/2023","8,000.0","7,810.0","8,120.0","7,810.0","1.41M","2.43%"
"12/01/2023","7,810.0","7,710.0","7,900.0","7,710.0","647.80K","-1.14%"
"11/30/2023","7,900.0","8,000.0","8,100.0","7,900.0","629.40K","-1.25%"
"11/29/2023","8,000.0","7,880.0","8,150.0","7,880.0","894.20K","1.52%"
"11/28/2023","7,880.0","7,900.0","7,970.0","7,700.0","1.01M","-0.38%"
"11/27/2023","7,910.0","8,110.0","8,110.0","7,800.0","973.10K","-2.47%"
"11/24/2023","8,110.0","8,150.0","8,150.0","7,850.0","1.79M","-0.49%"
"11/23/2023","8,150.0","8,890.0","8,890.0","8,150.0","4.44M","-1.93%"
"11/22/2023","8,310.0","8,200.0","8,310.0","8,000.0","1.59M","6.95%"
"11/21/2023","7,770.0","7,300.0","7,770.0","7,300.0","2.02M","6.88%"
"11/20/2023","7,270.0","7,200.0","7,340.0","7,150.0","1.03M","2.39%"
"11/17/2023","7,100.0","7,490.0","7,490.0","7,070.0","1.30M","-2.61%"
"11/16/2023","7,290.0","7,330.0","7,360.0","7,200.0","811.10K","-0.55%"
"11/15/2023","7,330.0","6,840.0","7,550.0","6,840.0","676.20K","-0.27%"
"11/14/2023","7,350.0","7,300.0","7,450.0","7,300.0","526.60K","0.68%"
"11/13/2023","7,300.0","7,370.0","7,490.0","7,290.0","502.50K","-0.95%"
"11/10/2023","7,370.0","7,500.0","7,500.0","7,320.0","845.30K","-1.07%"
"11/09/2023","7,450.0","7,330.0","7,600.0","7,330.0","1.09M","1.64%"
"11/08/2023","7,330.0","7,000.0","7,350.0","6,820.0","1.13M","4.27%"
"11/07/2023","7,030.0","7,100.0","7,150.0","7,000.0","522.80K","-0.71%"
"11/06/2023","7,080.0","7,100.0","7,230.0","7,020.0","514.70K","-0.28%"
"11/03/2023","7,100.0","7,040.0","7,300.0","6,910.0","859.10K","1.57%"
"11/02/2023","6,990.0","6,650.0","6,990.0","6,650.0","602.60K","6.88%"
"11/01/2023","6,540.0","6,800.0","7,000.0","6,400.0","1.47M","-3.82%"
"10/31/2023","6,800.0","7,320.0","7,320.0","6,800.0","960.10K","-6.85%"
"10/30/2023","7,300.0","7,410.0","7,410.0","7,210.0","760.30K","-2.14%"
"10/27/2023","7,460.0","7,440.0","7,490.0","6,950.0","581.20K","0.27%"
"10/26/2023","7,440.0","7,500.0","7,520.0","7,440.0","2.17M","-6.88%"
"10/25/2023","7,990.0","8,000.0","8,100.0","7,940.0","569.70K","-0.13%"
"10/24/2023","8,000.0","7,880.0","8,100.0","7,800.0","758.60K","1.52%"
"10/23/2023","7,880.0","8,120.0","8,120.0","7,800.0","1.18M","-2.96%"
"10/20/2023","8,120.0","8,100.0","8,120.0","7,800.0","997.50K","0.50%"
"10/19/2023","8,080.0","8,170.0","8,200.0","8,080.0","766.20K","-0.86%"
"10/18/2023","8,150.0","8,880.0","8,880.0","8,000.0","1.27M","-2.16%"
"10/17/2023","8,330.0","8,600.0","8,920.0","8,330.0","1.63M","-3.14%"
"10/16/2023","8,600.0","8,550.0","9,100.0","8,400.0","1.25M","0.58%"
"10/13/2023","8,550.0","8,000.0","8,550.0","7,730.0","2.09M","6.88%"
"10/12/2023","8,000.0","8,030.0","8,150.0","7,940.0","601.20K","-0.37%"
"10/11/2023","8,030.0","7,950.0","8,120.0","7,700.0","555.60K","1.01%"
"10/10/2023","7,950.0","7,950.0","8,160.0","7,660.0","1.38M","0.13%"
"10/09/2023","7,940.0","7,810.0","7,970.0","7,810.0","374.50K","1.66%"
"10/06/2023","7,810.0","7,810.0","7,880.0","7,750.0","705.30K","0.00%"
"10/05/2023","7,810.0","7,880.0","7,950.0","7,810.0","525.20K","-0.89%"
"10/04/2023","7,880.0","7,800.0","7,990.0","7,800.0","653.40K","1.03%"
"10/03/2023","7,800.0","8,310.0","8,310.0","7,730.0","1.09M","-6.14%"
"10/02/2023","8,310.0","8,180.0","8,600.0","8,180.0","792.20K","1.59%"
"09/29/2023","8,180.0","7,900.0","8,400.0","7,820.0","674.10K","-0.24%"
"09/28/2023","8,200.0","7,900.0","8,200.0","7,720.0","1.06M","3.80%"
"09/27/2023","7,900.0","7,810.0","7,900.0","7,600.0","1.46M","1.15%"
"09/26/2023","7,810.0","8,000.0","8,000.0","7,480.0","1.22M","-2.38%"
"09/25/2023","8,000.0","8,600.0","8,600.0","8,000.0","2.21M","-6.98%"
"09/22/2023","8,600.0","8,700.0","8,800.0","8,500.0","1.69M","-4.44%"
"09/21/2023","9,000.0","8,910.0","9,090.0","8,860.0","754.00K","0.90%"
"09/20/2023","8,920.0","8,700.0","8,940.0","8,600.0","1.26M","2.76%"
"09/19/2023","8,680.0","8,860.0","8,870.0","8,600.0","1.84M","-2.03%"
"09/18/2023","8,860.0","8,980.0","8,980.0","8,810.0","1.24M","-1.34%"
"09/15/2023","8,980.0","9,050.0","9,100.0","8,810.0","1.80M","-0.77%"
"09/14/2023","9,050.0","9,410.0","9,460.0","8,910.0","2.91M","-3.93%"
"09/13/2023","9,420.0","9,700.0","9,800.0","9,370.0","4.22M","-2.89%"
"09/12/2023","9,700.0","9,600.0","9,800.0","9,600.0","2.57M","0.83%"
"09/11/2023","9,620.0","10,000.0","10,200.0","9,620.0","4.53M","-4.28%"
"09/08/2023","10,050.0","10,000.0","10,200.0","10,000.0","2.53M","0.00%"
"09/07/2023","10,050.0","10,000.0","10,250.0","9,980.0","2.30M","0.50%"
"09/06/2023","10,000.0","10,000.0","10,150.0","9,900.0","2.45M","0.00%"
"09/05/2023","10,000.0","10,000.0","10,300.0","10,000.0","2.00M","0.00%"
"08/31/2023","10,000.0","10,150.0","10,200.0","10,000.0","2.77M","-0.50%"
"08/30/2023","10,050.0","10,450.0","10,450.0","9,580.0","3.62M","-2.43%"
"08/29/2023","10,300.0","10,150.0","10,450.0","9,510.0","1.60M","1.48%"
"08/28/2023","10,150.0","10,350.0","10,350.0","10,000.0","3.02M","-1.93%"
"08/25/2023","10,350.0","10,800.0","10,950.0","10,350.0","3.09M","-0.48%"
"08/24/2023","10,400.0","9,820.0","10,400.0","9,820.0","1.96M","7.00%"
"08/23/2023","9,720.0","9,500.0","9,720.0","9,300.0","1.34M","2.32%"
"08/22/2023","9,500.0","9,000.0","9,700.0","9,000.0","2.13M","-0.84%"
"08/21/2023","9,580.0","9,910.0","9,910.0","9,230.0","1.96M","-3.33%"
"08/18/2023","9,910.0","10,200.0","10,550.0","9,910.0","6.21M","-6.95%"
"08/17/2023","10,650.0","10,550.0","11,100.0","10,200.0","4.15M","-1.84%"
"08/16/2023","10,850.0","10,900.0","11,000.0","10,600.0","2.72M","0.00%"
"08/15/2023","10,850.0","10,800.0","11,200.0","10,550.0","2.88M","0.46%"
"08/14/2023","10,800.0","10,750.0","11,300.0","10,700.0","3.86M","0.47%"
"08/11/2023","10,750.0","10,800.0","10,850.0","10,500.0","3.44M","-0.92%"
"08/10/2023","10,850.0","10,800.0","11,200.0","10,050.0","6.44M","0.46%"
"08/09/2023","10,800.0","10,450.0","10,950.0","10,200.0","5.09M","3.35%"
"08/08/2023","10,450.0","10,100.0","10,750.0","10,100.0","4.19M","-0.48%"
"08/07/2023","10,500.0","10,100.0","10,600.0","9,540.0","4.39M","2.44%"
"08/04/2023","10,250.0","10,000.0","10,450.0","9,950.0","4.72M","3.12%"
"08/03/2023","9,940.0","10,200.0","10,300.0","9,910.0","3.23M","-2.55%"
"08/02/2023","10,200.0","10,100.0","10,200.0","9,700.0","4.58M","0.99%"
"08/01/2023","10,100.0","10,600.0","11,350.0","9,960.0","9.09M","-5.61%"
"07/31/2023","10,700.0","10,000.0","10,700.0","10,000.0","9.63M","7.00%"
"07/28/2023","10,000.0","9,400.0","10,000.0","9,300.0","7.20M","6.61%"
"07/27/2023","9,380.0","9,230.0","9,480.0","8,880.0","2.76M","0.86%"
"07/26/2023","9,300.0","9,350.0","9,360.0","9,230.0","2.00M","-0.53%"
"07/25/2023","9,350.0","9,200.0","9,470.0","9,150.0","1.93M","1.63%"
"07/24/2023","9,200.0","9,500.0","9,500.0","8,840.0","6.30M","-3.16%"
"07/21/2023","9,500.0","9,450.0","9,650.0","9,430.0","1.45M","0.74%"
"07/20/2023","9,430.0","9,300.0","9,480.0","9,210.0","1.44M","-0.53%"
"07/19/2023","9,480.0","9,650.0","9,650.0","9,460.0","2.22M","-1.76%"
"07/18/2023","9,650.0","9,800.0","9,850.0","9,630.0","1.66M","-1.53%"
"07/17/2023","9,800.0","9,640.0","9,880.0","9,640.0","2.54M","1.77%"
"07/14/2023","9,630.0","9,580.0","9,740.0","9,400.0","2.12M","0.10%"
"07/13/2023","9,620.0","9,420.0","9,800.0","9,420.0","2.36M","2.12%"
"07/12/2023","9,420.0","9,670.0","9,750.0","9,310.0","2.49M","-2.59%"
"07/11/2023","9,670.0","9,680.0","9,850.0","9,600.0","2.71M","0.21%"
"07/10/2023","9,650.0","9,600.0","9,830.0","9,530.0","2.40M","1.05%"
"07/07/2023","9,550.0","9,200.0","9,730.0","9,120.0","2.56M","3.80%"
"07/06/2023","9,200.0","9,030.0","9,580.0","9,030.0","3.56M","-3.97%"
"07/05/2023","9,580.0","9,600.0","9,880.0","9,550.0","3.94M","-3.04%"
"07/04/2023","9,880.0","9,550.0","10,050.0","9,550.0","3.14M","-1.10%"
"07/03/2023","9,990.0","9,790.0","10,200.0","9,620.0","3.91M","2.04%"
"06/30/2023","9,790.0","10,100.0","10,100.0","9,630.0","4.14M","-3.07%"
"06/29/2023","10,100.0","10,300.0","10,800.0","10,100.0","8.33M","0.00%"
"06/28/2023","10,100.0","9,480.0","10,100.0","9,480.0","5.35M","6.77%"
"06/27/2023","9,460.0","8,990.0","9,480.0","8,980.0","4.89M","5.23%"
"06/26/2023","8,990.0","9,000.0","9,000.0","8,750.0","1.89M","-0.11%"
"06/23/2023","9,000.0","9,100.0","9,100.0","8,950.0","2.33M","-1.10%"
"06/22/2023","9,100.0","9,150.0","9,250.0","9,000.0","2.60M","-0.44%"
"06/21/2023","9,140.0","8,900.0","9,230.0","8,900.0","2.78M","2.93%"
"06/20/2023","8,880.0","8,650.0","8,880.0","8,600.0","1.85M","2.66%"
"06/19/2023","8,650.0","9,100.0","9,100.0","8,480.0","3.41M","-5.05%"
"06/16/2023","9,110.0","9,150.0","9,540.0","9,100.0","3.77M","-0.22%"
"06/15/2023","9,130.0","9,220.0","9,290.0","9,110.0","2.38M","-0.98%"
"06/14/2023","9,220.0","9,130.0","9,490.0","9,010.0","4.55M","0.99%"
"06/13/2023","9,130.0","9,400.0","9,400.0","9,050.0","3.24M","-1.08%"
"06/12/2023","9,230.0","8,900.0","9,400.0","8,880.0","4.93M","3.82%"
"06/09/2023","8,890.0","8,800.0","8,950.0","8,500.0","3.57M","1.02%"
"06/08/2023","8,800.0","9,200.0","9,200.0","8,800.0","6.03M","-2.22%"
"06/07/2023","9,000.0","8,460.0","9,000.0","8,000.0","6.63M","6.38%"
"06/06/2023","8,460.0","8,330.0","8,510.0","8,280.0","3.63M","2.17%"
"06/05/2023","8,280.0","8,260.0","8,460.0","8,210.0","1.85M","0.24%"
"06/02/2023","8,260.0","8,340.0","8,480.0","8,240.0","3.22M","-1.08%"
"06/01/2023","8,350.0","8,440.0","8,510.0","8,310.0","2.54M","-1.18%"
"05/31/2023","8,450.0","8,200.0","8,630.0","8,200.0","3.36M","2.92%"
"05/30/2023","8,210.0","8,330.0","8,400.0","8,150.0","2.65M","-1.56%"
"05/29/2023","8,340.0","8,250.0","8,480.0","8,250.0","2.58M","1.58%"
"05/26/2023","8,210.0","8,160.0","8,350.0","8,160.0","2.00M","0.74%"
"05/25/2023","8,150.0","8,400.0","8,500.0","8,000.0","3.28M","-2.86%"
"05/24/2023","8,390.0","8,640.0","8,860.0","8,300.0","2.82M","-3.01%"
"05/23/2023","8,650.0","8,380.0","8,970.0","8,380.0","7.08M","3.10%"
"05/22/2023","8,390.0","8,240.0","8,390.0","8,020.0","3.56M","6.88%"
"05/19/2023","7,850.0","8,000.0","8,240.0","7,670.0","8.15M","-2.36%"
"05/18/2023","8,040.0","8,500.0","8,520.0","8,020.0","9.07M","-6.07%"
"05/17/2023","8,560.0","9,200.0","9,410.0","8,560.0","14.11M","-6.96%"
"05/16/2023","9,200.0","9,230.0","9,590.0","9,080.0","5.57M","-0.33%"
"05/15/2023","9,230.0","9,550.0","9,550.0","9,200.0","8.27M","3.36%"
"05/12/2023","8,930.0","8,350.0","8,930.0","8,280.0","6.70M","6.95%"
"05/11/2023","8,350.0","8,500.0","8,500.0","8,330.0","2.96M","-0.95%"
"05/10/2023","8,430.0","8,300.0","8,470.0","8,300.0","3.59M","1.93%"
"05/09/2023","8,270.0","8,100.0","8,340.0","8,100.0","3.12M","2.10%"
