"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2021","14,674.5","14,995.6","14,995.6","14,628.7","767.10K","-1.84%"
"06/28/2021","14,949.7","15,224.8","15,224.8","14,812.1","414.70K","0.00%"
"06/25/2021","14,949.7","14,949.7","14,995.6","14,720.4","521.60K","0.31%"
"06/24/2021","14,903.8","15,133.1","15,224.8","14,903.8","785.80K","-1.52%"
"06/23/2021","15,133.1","15,454.1","15,454.1","14,995.6","871.50K","-2.08%"
"06/22/2021","15,454.1","15,683.4","15,775.1","15,454.1","850.90K","-1.46%"
"06/21/2021","15,683.4","15,224.8","16,050.3","15,224.8","1.54M","1.79%"
"06/18/2021","15,408.3","15,408.3","15,454.1","15,224.8","913.70K","0.00%"
"06/17/2021","15,408.3","15,224.8","15,454.1","15,087.3","1.15M","-0.30%"
"06/16/2021","15,454.1","14,858.0","15,683.4","14,858.0","1.64M","4.01%"
"06/15/2021","14,858.0","14,903.8","15,087.3","14,674.5","724.10K","0.00%"
"06/14/2021","14,858.0","14,674.5","15,133.1","14,628.7","1.25M","2.21%"
"06/11/2021","14,537.0","14,491.1","14,674.5","14,307.7","573.50K","0.96%"
"06/10/2021","14,399.4","14,491.1","14,491.1","14,261.8","372.40K","0.00%"
"06/09/2021","14,399.4","14,445.3","14,582.8","14,307.7","486.20K","-0.63%"
"06/08/2021","14,491.1","14,537.0","14,766.3","14,491.1","747.60K","-0.63%"
"06/07/2021","14,582.8","14,582.8","14,858.0","14,491.1","901.60K","0.00%"
"06/04/2021","14,582.8","14,766.3","14,812.1","14,491.1","642.70K","-1.24%"
"06/03/2021","14,766.3","14,858.0","14,858.0","14,491.1","944.80K","1.90%"
"06/02/2021","14,491.1","14,124.3","14,537.0","14,078.4","656.30K","1.28%"
"06/01/2021","14,307.7","14,032.5","14,445.3","14,032.5","508.80K","1.96%"
"05/31/2021","14,032.5","14,216.0","14,216.0","13,895.0","465.20K","0.33%"
"05/28/2021","13,986.7","14,032.5","14,124.3","13,849.1","443.50K","-0.33%"
"05/27/2021","14,032.5","14,216.0","14,261.8","13,940.8","667.60K","-1.61%"
"05/26/2021","14,261.8","14,307.7","14,307.7","14,124.3","599.60K","-0.64%"
"05/25/2021","14,353.5","14,537.0","14,537.0","14,307.7","494.60K","-0.32%"
"05/24/2021","14,399.4","14,216.0","14,445.3","14,032.5","726.30K","2.28%"
"05/21/2021","14,078.4","13,757.4","14,307.7","13,574.0","560.80K","1.66%"
"05/20/2021","13,849.1","13,574.0","13,849.1","13,528.1","693.50K","1.00%"
"05/19/2021","13,711.5","14,078.4","14,078.4","13,711.5","1.56M","-2.61%"
"05/18/2021","14,078.4","14,216.0","14,307.7","13,849.1","1.04M","-0.97%"
"05/17/2021","14,216.0","14,812.1","14,903.8","14,216.0","1.59M","-4.02%"
"05/14/2021","14,812.1","14,858.0","15,087.3","14,812.1","872.90K","-0.31%"
"05/13/2021","14,858.0","14,995.6","15,133.1","14,812.1","1.30M","-1.52%"
"05/12/2021","15,087.3","15,041.4","15,133.1","14,812.1","617.20K","0.92%"
"05/11/2021","14,949.7","15,316.6","15,362.4","14,720.4","1.06M","-2.10%"
"05/10/2021","15,270.7","14,720.4","15,362.4","14,582.8","1.69M","3.74%"
"05/07/2021","14,720.4","14,903.8","15,041.4","14,628.7","949.40K","-1.84%"
"05/06/2021","14,995.6","15,133.1","15,316.6","14,995.6","722.80K","-0.91%"
"05/05/2021","15,133.1","15,133.1","15,316.6","14,949.7","596.60K","1.85%"
"05/04/2021","14,858.0","14,674.5","14,995.6","14,674.5","546.10K","-0.92%"
"04/29/2021","14,995.6","14,949.7","15,179.0","14,949.7","575.80K","0.31%"
"04/28/2021","14,949.7","14,995.6","15,087.3","14,858.0","765.80K","0.00%"
"04/27/2021","14,949.7","14,949.7","15,133.1","14,674.5","306.30K","-0.31%"
"04/26/2021","14,995.6","15,683.4","15,683.4","14,858.0","669.40K","-3.25%"
"04/23/2021","15,500.0","14,766.3","15,500.0","14,537.0","1.20M","4.97%"
"04/22/2021","14,766.3","15,729.3","15,729.3","14,766.3","1.78M","-6.67%"
"04/20/2021","15,821.0","16,142.0","16,325.4","15,591.7","1.01M","-1.43%"
"04/19/2021","16,050.3","16,050.3","16,142.0","15,866.9","655.20K","0.00%"
"04/16/2021","16,050.3","16,417.1","16,554.7","15,729.3","1.19M","-2.78%"
"04/15/2021","16,508.9","16,738.2","16,784.0","16,508.9","869.10K","-1.37%"
"04/14/2021","16,738.2","16,738.2","16,875.7","16,508.9","880.90K","0.00%"
"04/13/2021","16,738.2","17,105.0","17,150.9","16,692.3","948.60K","-1.88%"
"04/12/2021","17,059.2","16,967.4","17,196.7","16,875.7","1.24M","0.27%"
"04/09/2021","17,013.3","17,059.2","17,105.0","16,784.0","838.60K","-4.36%"
"04/08/2021","17,789.0","17,885.0","17,980.0","17,646.0","842.90K","-0.27%"
"04/07/2021","17,837.0","17,455.0","17,932.0","17,312.0","1.45M","1.63%"
"04/06/2021","17,551.0","17,551.0","17,694.0","17,503.0","948.90K","-0.54%"
"04/05/2021","17,646.0","17,742.0","17,837.0","17,503.0","1.03M","-0.54%"
"04/02/2021","17,742.0","18,123.0","18,123.0","17,646.0","949.60K","0.54%"
"04/01/2021","17,646.0","17,551.0","17,837.0","17,265.0","1.37M","0.82%"
"03/31/2021","17,503.0","17,503.0","17,551.0","17,265.0","939.50K","-0.27%"
"03/30/2021","17,551.0","17,551.0","17,646.0","17,360.0","707.50K","0.00%"
"03/29/2021","17,551.0","17,360.0","17,551.0","17,122.0","1.08M","2.22%"
"03/26/2021","17,169.0","17,169.0","17,551.0","16,454.0","2.14M","-2.70%"
"03/25/2021","17,646.0","17,789.0","17,980.0","17,408.0","1.07M","-1.07%"
"03/24/2021","17,837.0","18,028.0","18,362.0","17,551.0","1.61M","-2.86%"
"03/23/2021","18,362.0","17,980.0","18,648.0","17,980.0","4.13M","3.49%"
"03/22/2021","17,742.0","17,932.0","18,028.0","17,694.0","1.09M","-0.53%"
"03/19/2021","17,837.0","17,646.0","17,885.0","17,455.0","1.13M","1.36%"
"03/18/2021","17,598.0","17,646.0","17,742.0","17,455.0","800.00K","0.54%"
"03/17/2021","17,503.0","17,646.0","17,694.0","17,408.0","1.55M","-1.08%"
"03/16/2021","17,694.0","17,837.0","17,885.0","17,551.0","1.66M","-0.53%"
"03/15/2021","17,789.0","17,742.0","18,075.0","17,694.0","1.39M","0.26%"
